Age,Primary streaming service,Hours per day,While working,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Hip hop],Frequency [Pop],Frequency [Rock],Anxiety,Depression,Insomnia,Music effects
18,Spotify,4,No,Video game music,No,Yes,132,Rarely,Rarely,Rarely,7,7,10,No effect
61,YouTube Music,2.5,Yes,Jazz,Yes,Yes,84,Never,Sometimes,Never,9,7,3,Improve
18,Spotify,4,Yes,R&B,Yes,No,107,Very frequently,Sometimes,Never,7,2,5,Improve
18,Spotify,5,Yes,Jazz,Yes,Yes,86,Sometimes,Very frequently,Very frequently,8,8,7,Improve
18,YouTube Music,3,Yes,Video game music,Yes,Yes,66,Rarely,Rarely,Never,4,8,6,Improve
21,Spotify,1,Yes,K pop,Yes,Yes,95,Very frequently,Sometimes,Never,5,3,5,Improve
19,Spotify,6,Yes,Rock,No,No,94,Never,Never,Very frequently,2,0,0,Improve
18,I do not use a streaming service.,1,Yes,R&B,Yes,Yes,155,Rarely,Sometimes,Sometimes,2,2,5,Improve
18,Spotify,3,Yes,Country,Yes,No,,Never,Rarely,Rarely,7,7,4,No effect
19,YouTube Music,8,Yes,EDM,Yes,No,125,Sometimes,Rarely,Rarely,1,0,0,Improve
20,Spotify,3,Yes,Hip hop,Yes,Yes,,Very frequently,Sometimes,Rarely,9,3,2,Improve
19,Spotify,2,Yes,Country,Yes,No,88,Sometimes,Rarely,Never,2,1,2,Improve
18,Spotify,4,Yes,Jazz,Yes,Yes,148,Never,Sometimes,Sometimes,6,4,7,Improve
17,Spotify,2,No,Pop,Yes,Yes,,Sometimes,Very frequently,Sometimes,7,5,4,Worsen
16,Spotify,8,Yes,Hip hop,Yes,Yes,103,Very frequently,Never,Never,8,8,4,Improve
16,Spotify,12,Yes,Hip hop,Yes,Yes,120,Very frequently,Sometimes,Very frequently,5,7,10,Improve
17,Spotify,24,Yes,Rap,Yes,No,99,Sometimes,Rarely,Very frequently,7,5,0,Improve
15,Spotify,3,No,Hip hop,No,No,120,Very frequently,Rarely,Rarely,7,3,0,Improve
15,Apple Music,8,Yes,Hip hop,Yes,Yes,120,Very frequently,Very frequently,Sometimes,6,9,3,Improve
17,Spotify,4,Yes,Rap,Yes,No,125,Sometimes,Sometimes,Sometimes,10,10,2,Improve
19,I do not use a streaming service.,5,Yes,R&B,Yes,Yes,118,Very frequently,Rarely,Sometimes,6,7,5,Improve
18,Spotify,2,Yes,Pop,No,Yes,79,Rarely,Very frequently,Never,3,3,8,No effect
